Genotypes,% Duplication,% Deletion,Chromosome-wise Max Duplication %,Chromosome-wise Max Deletion %
RBJ-69_cnv,53.16,46.84,64.29 (A04),52.50 (B01)
RBJ-26_cnv,16.41,83.59,21.82 (B06),87.12 (A09)
RBJ-45_cnv,54.86,45.14,66.67 (A01),50.00 (A02)
RBJ-66_cnv,45.83,54.17,55.95 (B06),59.41 (A02)
RBJ-70_cnv,56.25,43.75,100.00 (A03),60.00 (A04)
RBJ-48_cnv,51.34,48.66,62.50 (A04),55.56 (B01)
RBJ-21_cnv,35.11,64.89,39.93 (B06),72.59 (A01)
RBJ-81_cnv,15.31,84.69,21.43 (A03),92.24 (A08)
RBJ-8_cnv,4.24,95.76,8.91 (A10),97.49 (B08)
RBJ-51_cnv,44.97,55.03,60.00 (A10),66.67 (A04)
RBJ-65_cnv,51.76,48.24,100.00 (A04),66.67 (A07)
RBJ-85_cnv,56.57,43.43,100.00 (A03),60.00 (B07)
RBJ-82_cnv,47.11,52.89,60.53 (B02),93.24 (A08)
RBJ-4_cnv,2.84,97.16,4.37 (A04),98.56 (B06)
RBJ-54_cnv,0.92,99.08,1.69 (B01),99.71 (B08)
RBJ-80_cnv,22.71,77.29,53.45 (B03),92.54 (A08)
BN4_cnv_data,22.71,77.29,53.45 (B03),92.54 (A08)
BR10_cnv_data,14.90,85.10,34.75 (B05),94.18 (A08)
RBJ-46_cnv,51.76,48.24,100.00 (A04),66.67 (A07)
BN5_cnv_data,19.64,80.36,55.88 (B02),94.12 (A08)
RBJ-35_cnv,44.68,55.32,54.55 (A08),62.50 (B04)
RBJ-10A_cnv,50.81,49.19,66.67 (A10),54.55 (A02)
BN6_cnv_data,4.36,95.64,36.23 (A08),99.48 (B08)
RBJ-1_cnv,51.64,48.36,100.00 (A05),57.14 (A04)
RBJ-76_cnv,51.34,48.66,59.38 (B05),55.56 (B04)
RBJ-89_cnv,48.53,51.47,66.67 (A02),63.64 (B05)
RBJ-71_cnv,48.29,51.71,49.65 (A01),52.89 (A08)
RBJ-78_cnv,4.20,95.80,6.33 (A04),98.15 (A10)
RBJ-18_cnv,49.52,50.48,60.00 (A05),60.38 (A02)
RBJ-25_cnv,2.49,97.51,3.75 (A02),98.86 (A10)
RBJ-34_cnv,1.08,98.92,1.98 (A01),99.59 (A05)
RBJ-49_cnv,7.86,92.14,12.82 (A10),95.38 (A02)
